personLabel,personDescription
Elizabeth Bagshaw,Canadian doctor
Kate Breckenridge Karpeles,
Linda Rosenstock,American public health administrator
Argelia Velez-Rodriguez,Cuban-American mathematician and educator
Sabine Bergmann-Pohl,"German politician, last leader of East Germany"
Marina Dermastia,Slovene biochemist and botanist
Mary Ellen Wohl,American physician
Ann-Sofie Sandberg,Swedish food chemist
Jasmine Braidwood,New Zealand phycologist
Jenna Lê,"American poet, medical doctor."
Rylie Green,researcher
Marith Volp,Dutch politician
Aura Timen,Dutch university teacher
Eszter Karaszi,"Hungarian born Swedish politician and civil rights fighter and engineer, started the 'Widows Revolt' in 1997"
Madeline Nyamwanza-Makonese,female Zimbabwean physician
Anna Irwin Young,American mathematician
Lindsay LeBlanc,Canadian atomic physicist and engineer
Marjorie Devaney,"American mathematician, electrical engineer, and computer scientist"
Alenka Malej,Slovene biologist
Suranganie Dharmawardhane,Sri Lankan biochemist
Nanny Fröman,Swedish physicist
Cynthia B. Lee,computer science lecturer at Stanford University
Stella Stevens Bradford,American medical doctor
Svetlana Selezneva,"Russian mathematician, Dr.Sc.,Associate professor, a professor at the Faculty of Computer Science at the Moscow State University"
Reidun Twarock,German mathematician
Naomi Leonard,American engineer
Emily N. Wabuyele,botanist
Barbara Sudnik-Wójcikowska,Polish scientist and university teacher
Louise Isachsen,Norwegian physician
Zenaida,
Vaike Paju,botanist (1930-2012)
Erna Schneider Hoover,American mathematician
Sarah Thomas,botanist
Daniella Abreu,Brazilian civil engineer
Marthe Gautier,French physician
H. V. Lelong,Argentinian botanist (1910-2010)
Olga Kostyukova,mathematician and control theorist
Claire Ellen Max,American astronomer
Marija Perpar,Slovene chemist
Annie Mino-Choukroun,French-Swiss psychiatrist
Galina Ivanova,Russian tennis player (1937-)
Me-Iung Ting,Chinese doctor
Fei-Fei Li,American computer scientist
Janice Lourie,American computer scientist
Min Chen,biologist
Erika Post,
Susan Loepp,American mathematician
Carol Shaw,American video game designer
Sue Falsone,American baseball athletic trainer
Jana Osbornová-Kosinová,botanist
Mara Neusel,mathematician
Terry Orr-Weaver,American molecular biologist
Alena Šromová,"Czech senator of Czech Parliament, doctor and local politician"
Nalini Joshi,Australian mathematician
Edith Kellman,American astronomer
Margaret Weston,British curator
Poliksena Shishkina-Iavein,
Bodil Holst,Danish physicist
P. S. Landa,
Anna Sundström,First woman chemist in Sweden
Frances Ekstam,founder of the physical therapy program at IU School of Medicine
Mathilde Carmen Hertz,German biologist
Nami Matsuda,Japanese physician
Anna Bigas Salvans,researcher
Jackie Stedall,British mathematician and historian of mathematics
Maragaret Kennix,
Risa Wechsler,American physicist
Barbara Ramsay Shaw,American chemist
Clara Winsome Muirhead,Scottish botanist (1915–1985)
Pilar de Madariaga Rojo,spanische Chemikerin
Maria Cunitz,German astronomer
Q47489158,Ukrainian botanist (1873-1958)
Mary Esslemont,British physician
Ortrud Oellermann,South African mathematician
Catherine A. Roberts,American mathematician
Nadine Aubry,American engineer
Adriana Neumann de Oliveira,Brazilian mathematician
Elizabeth H. Simmons,physicist
Jennifer Elisseeff,Professor of biomedical engineering
Mary Elizabeth Barkworth,American botanist (1941- )
Béatrice Chatel,French physicist
Marie Anna Schirmann,Austrian physicist
Maria Zając,Polish botanist (1955–2018)
Michelle Povinelli,American physicist and nanophotonics researcher
Hanna Zakowska,
Gloria Galeano Garcés,Colombian scientist (1958-2016)
Alenka Dekleva,Slovene anatomist
Heather Willauer,American analytical chemist and inventor
Maria da Graça Andrada,طبيبة برتغالية
Galina Richardovna Kastel,Soviet astronomer
Paula Elizabeth Jameson,New Zealand plant physiologist and science administrator
Susanne Abid-Wallendorf,Luxembourgian writer
Sireen Hamsho,Syrian engineer
Anna Tramontano,Italian computational biologist
Leela Hazzah,Egyptian conservation biologist
Joëlle Coutaz,French computer scientist
Núria López-Bigas,researcher on computational cancer genomics
Kathryn Zurek,American physicist
Yang Fuqing,Chinese mathematician and computer scientist
Eele Õunapuu,Estonian biologist
Maria Wähnl,Austrian astronomer
Diana Thomas,American mathematician
Kathleen Kavanagh,American applied mathematician
Renã A. S. Robinson,chemist
Deborah Swackhamer,Environmental chemist
Euthanasia Sherman Meade,
Irina Kostova,
María Elena Álvarez-Buylla,Mexican scientist
Claire Molloy,Irish rugby union player
Tamara Zhuze,Soviet oil chemist
Carla Penz,American entomologist
Pia-Astrid Ott,
Lauren Sager Weinstein,
Justine Serrano,French physicist
Alicja Kiepurska-Branicka,
Alice Eastwood,Canadian American botanist (1859-1953)
Kim Venn,professor of physics and astronomy at the University of Victoria
Beatrice Irwin,"actress, poet and designer"
Piedad Brox,Spanish physicist
Ada Estelle Schweitzer,
Elts Abel,Estonian mathematician
Ayşe Şahin,
Elena Evgen'evna D'yakonova,
Els Koffeman,
Q55108147,Ukrainian botanist (b. 1889)
Bahar Dadaşova,
Inès Gaches-Sarraute,"docteur en médecine, corsetière"
Lia Osipian,"Armenian botanist, mycologist"
Ida Kahn,Chinese doctor
Zsuzsanna Heiner,Hungarian astronomer
Patricia Buriticá,Colombian mathematician
Solange Lourenço Gomes,alumna brasileña
Anna Bogdan,Polish engineer
Marianne North,"English philanthropist, painter, biologist and botanical artist (1830-1890)"
Kateryna Yushchenko,Ukrainian Soviet and Ukrainian computer scientist
Aída Hassón-Voloch,
Annalisa Crannell,American mathematician
Rebecca Garcia,American computer programmer
Liubov Altunina,
Sidney C. Wolff,American astrophysicist
Regine Limaverde,
Carla Molteni,scientist
Alli Huovinen,Finnish mathematician
Édmée Chandon,French astronomer
Ulla Pursiheimo,Finnish mathematician
Laura Alberta Linton,American chemist
Nina Goyda,
Atsuko Miyaji,Japanese cryptographer
Mary Delany,"English Bluestocking, artist, and letter-writer (1700-1788)"
Margaret Blackwood,(1909-1986) botanist and geneticist
Guadalupe Virginia Nevárez Morillón,"Mexican bacteriologist, parasitologist and chemist"
Lady Juliana (Agra),
Carmen Medel Palma,Mexican politician
L. Christine Kinsey,American mathematician
Elissa Murphy,American software engineer
Catherine Abbott,British geneticist
Jadwiga Sójka-Ledakowicz,researcher
Rama Akkiraju,American computer scientist
Elisabeth Finckh,deutscher Ärztin und Tibetologin
Vijayalakshmi Ramanan,Indian Air Force Pilot
Katharina Mangold-Wirz,Swiss marine biologist (1922-2003)
Zuriñe Zulaika,
Nagasuma Chandra,Indian structural biologist
Izumi Washitani,
Gillian R. Knapp,researcher
Jaione Valle,Spanish biologist
Signe Viggor,
Małgorzata Przeniosło,
Daria Bertolani Marchetti,Italian botanist and professor (1919-1994)
Nadia Ayad,
Sophia B. Jones,canadian-born American medical doctor
Burcin Becerik-Gerber,Turkish American engineering educator
Marina Soliva Corominas,Spanish gynecologist
Kaya Thomas,American computer scientist
Ana Peñaherrera-Leiva,French biologist
Canan Dağdeviren,Turkish scientist
Ulrike Lucke,Hochschullehrerin
Laura Janáčková,Czech psychologist
Tatsyana Artsyushyna,"Belarusian physician, pediatrician and politician"
Valyantsina Kachan,Belarusian physician and politician
Nancy Reid,"Canadian statistician, University of Toronto"
Lillian Beard,American physician
Laura Latvala,طبيبة فنلندية
Heather C. Allen,American chemist
Lotte Loewe,German chemist
Atefeh Pirani,
Bertha Aebi,
Bianca Kalinowski Canestraro,
Cláudia P. Caliari,
Fanny Camacho,
Irmgard van Rensen,
Joan Bywater,
Juliana G. Freitas,
Juliana Gastaldello Rando,
Julie H. Webber,
Laíce Fernanda Gomes de Lima,
Lena Frenzke,
Liz Karen Ruíz,
Maria José Reis Da Rocha,
Maria Zita Ferreira,
Mathilde Giroux,
Natalia Schelkunova,
Patricia Kenney,
Patricia Magaña,
Polina D. Gudkova,
Rafaela Jorge Trad,
Renata Giassi Udulutsch,
Sara B. Hoot,
Sara López-Vinyallonga,
Susan B. Gallagher,
Sabine Hagedoren,Belgian television meteorologist
Wei Yang,American biologist
Sudha Murthy,"Indian writer, philanthropist, author"
Verônica Thode,
Zuleika Serracín,
Carmen Mijangos Ugarte,Spanish scientist and chemist
Laura Iglesias Romero,Spanish scientist and chemist
Charlotte E. Maguire,American physician
Susan Rosser,Professor of Synthetic Biology
Marie Louise Sawyer,"American botanist, botanical collector and university teacher (1876—1939)"
Jasmin Staiblin,German chief executive officer and manager
Elisabeth Lochen,French film director
Wendy Raymond,American molecular biologist
Flavia Bustreo,طبيبة إيطالية
Christine Cocquyt,phycologist
Mária Horecká,phycologist
Dayle E. Saar,botanist
Kumiko Nishioka,mathematician
Kayla L. Kaplan,American biologist
Leticia Adelaide Appiah,physician
Jacqueline Dewar,American mathematician and mathematics educator
Joana D'Arc Félix de Souza,Brazilian chemist
Tracy Drain,NASA flight systems engineer
Brenda Andrews,Canadian biologist
Sandra Schmid,Canadian biologist
Montserrat Gomendio,Spanish politician and scientist
Françoise Meunier,Belgian physician
Marie-Paule Teulade-Fichou,researcher
Rose Dieng Kuntz,Senegalese computer scientist
Amy Gladfelter,American cell biologist
Beate Paulus,German chemist
Suzanne Zélie Pauline Veil,French chemist
Coralie Colmez,Mathematics tutor and author
Dan D. Yang,Founder of Rullingnet Corp.
Lin Lanying,Chinese materials scientist
Amanda Surya,Indonesian programmer
Berta Lange de Morretes,Brazilian botanist
Isabelle Mansuy,Neuroepigeneticist
Helena Lilja,Swedish mathematician
Ajit Iqbal Singh,Indian mathematician
Jolenta Schneider,Polish biologist
Amalia Moretti,Italian journalist and physician
Sophie Carenco,French nanochemist and researcher
Lyubov Novikova,russische Botanikerin
Karen Hitchcock,American biologist and university administrator
Aldjia Noureddine Benallègue,Algerian physician and pediatrician
Alice Woodby McKane,"First woman doctor in Savannah, Georgia"
Germaine Benoit,French chemical engineer
Jessie Ann Scott,"Doctor, medical officer, prisoner of war"
Katharine Blunt,American Chemist
Maria Johanna van Steenis-Kruseman,Dutch botanist (1904-1999)
Orna Grumberg,Israelian computer scientist
Gretel Adorno,German chemist (1902-1993)
Teresa Wyszyńska,طبيبة بولندية
Helen Burgess,Canadian conservation scientist
Lucy O'Brien,Irish missionary sister and medical doctor
Hagit Attiya,israeli computer scientist
Ana Rodrigues,French ecologist
Margot Gerritsen,Dutch mathematician
Stefanie Tschegg,Austrian scientist
Oláhné Béládi Ilona,Hungarian physician
Teresa Mrozińska,phycologist
Moana Mackey,New Zealand politician
Gloria Teresa Mercader De Villegas,Venezuelan medic and researcher
Jane Hunter,Australian data scientist
Elżbieta Katarzyna Biernacka,Polish cardiologist
Sylvia Earle,American oceanographer
Dharani Dhar Awasthi,botanist and lichenologist (1922-2011)
Hannele Korhonen,"Finnish physicist, research professor of Finnish Meteorological Institute"
Ineke De Moortel,Belgian mathematician and astronomer
Kseniya Aleksandrovna Rassadina,Soviet botanist and lichenologist (1903–1987)
Myrle Eunice Grenzebach,"botanist, fl 1926"
Karen Bailey,research scientist
Sabine Stöhr,Swedish echinoderm biologist
Shannon M. Berch,Canadian botanist
Soili Kristina Stenroos,Finnish lichenologist
Clare Waterman,Cell biologist
Aline Marie Raynal,French botanist
My Hang V. Huynh,American chemist
Emily A. Carter,American chemist
Nancy Salisbury,American mathematician
Lakshmi Sahgal,Indian commander of the Indian National Army (1914-2012)
Kayri Havens,American botanist
Ana María Zubiaga Elordieta,researcher (ORCID 0000-0002-2132-9708)
Ioana Dumitriu,Romanian-American mathematician
Beatrice Pelloni,researcher
Sarah Reichard,Botanist
Tabetha S. Boyajian,American astronomer
Laurie Winkless,Irish physicist
Julia Morton,American author and botanist (1912-1996)
Maryam Almasi,Iranian botanist
Winifred Sawtell Cameron,American astronomer
Helene Reschovsky,Austrian-American mathematician
Edith M. Flanigen,American chemist
Mary Ellen Rudin,American mathematician
Nicole Marthe Le Douarin,French biologist
Margaret Oakley Dayhoff,American biochemist
Liu Yandong,Chinese politician
Vera T. Sós,Hungarian mathematician
Els Borst,Dutch politician (1932-2014)
Elizabeth M. Ramsey,"American physician, placentologist, and embryologist"
Khawla Al Khuraya,Saudi physician and cancer specialist
Tebello Nyokong,South African chemist and professor
Mathilde Krim,medical researcher
Anna Helen Tappan,amerikanische Mathematikerin und Hochschullehrerin
Josephine Roe,amerikanische Mathematikerin und Hochschullehrerin
Katharine Burr Blodgett,American physicist
Alma Theodora Lee,Australian botanist (1912-1990)
Larisa Lisitsyn,Finnish businesswoman and nuclear physicist
Yelena Malysheva,Russian physician and TV presenter
Thekla Resvoll,Norwegian botanist (1871-1948)
Danina Coelho,osttimoresische Medizinerin
Maeve Hillery,Irish physician
Elsie Quarterman,Plant ecologist (1910-2014)
Viviane Tabar,neurosurgeon
Tina Thörner,Swedish rally co-driver
Teresa Rząca-Urban,Polish physicist
Maria Fidecaro,Italian physicist
Debbie Chachra,"engineer, materials scientist and professor at Olin College"
Marian Noel Sherman,English-born Canadian physician and humanist
Tequila Harris,African-American engineer
Rose Morton,American mathematician
Ashwaq Moharram,Yemeni physician and activist
Gertrude Kelly,Irish-American surgeon and social activist
Marta Macho Stadler,Spanish mathematics and scientific disseminator
María del Carmen Clapp Jiménez,neurobióloga mexicana
Tanja Lange,scientific director of the Eindhoven Institute for the Protection of Systems and Information
Patricia Lewis,Irish physicist
Antonina Polozhy,Russian botanist (1917-2003)
Heidi Hammel,Planetary astronomer
Etta D Pisano,American breast imaging researcher
Angélique Arvanitaki,French neurophysiologist
Manana Archvadze-Gamsakhurdia,
Rodica Simion,American mathematician
Frances Brodsky,American cell biologist
Alice Elizabeth Anderson,"Australian businesswoman, garage proprietor, designer, industrial/product designer, and mechanic"
Karin Tegmark Wisell,
Ekaterina F. Malysheva,
Carolyn Wilson Harris,American botanist (1849-1910)
Eugenie Scott,anthropologist
Corrie Denew Chase,botanist (1878-1965)
Penny Dwyer,British actress
Divya Darshan Pant,botanist (1919-2001)
Elizabeth Chase Neese,botanist (1934-2008)
Janina Małecka,botanist (1926-1991)
Isabel Martínez,Spanish lichenologist
Kittie Fenley Parker,botanist (1910-1994)
Lillian Louisa Britten,South African botanist (1886-1952)
Margaret Trevena Martin,British botanist (1905-)
Ruth C. Smith,botanist (1908-1982)
Florence Meier Chase,American botanist (1902-1978)
Anna-Lisa Arrhenius,Swedish mathematician
Mary Ann Robb,"British botanist, horticulturist and plant collector (1829 - 1912)"
Guri Ingebrigtsen,Norwegian politician (1952-2020)
Mariya Shcherbina,mathematician
Olga Givernet,French politician
Angelika Schwabe-Kratochwil,German botanist
Matilda Kerry,Nigerian doctor
Athene Donald,British physicist
Laura Ferrarese,Italian astrophysicist
Elizaveta Ushakova,Soviet agrobiologist
Jane Stafford,American medical writer and chemist
Leah Culver,American computer scientist and entrepreneur
Meredith L. Patterson,"American technologist, science fiction author, and journalist"
Myrtle Bachelder,American chemist and Women's Army Corps officer
Sophie Germain,"French mathematician, physicist, and philosopher"
Stephanie L. Kwolek,American chemist; invented Kevlar
Mary Horgan,
Alexandra Vasilievna Novoselova,Soviet inorganic chemist
Barbara Opozda,Polish mathematician
Jacqueline Krim,"researcher, consdensed matter physicist"
Karin Stephen,British psychoanalyst & scholar
Jennifer L. Martin,Australian molecular biologist
Clarita von Trott zu Solz,German physician and psychotherapist (1917-2013)
Ana Sobral,Botanikerin
Sara Jane Rhoads,American chemist (1920-1993)
Martine Queffélec,French mathematician
Matilde Marcolli,Italian mathematician and physicist
Margaret Levyns,South African botanist (1890-1975)
Mary Livingston Ripley,horticulturist and scientific collector (1914-1996)
Annita Tuller,amerikanische Mathematikerin und Hochschullehrerin
Melody Chan,American mathematician and violinist
Matilda Moldenhauer Brooks,American cell biologist
Martha Doan,American chemist
Pamela Raymond,American scientist
Sandy Carter,"American computer scientist, marketer, and businesswoman"
Winnie Byanyima,"Ugandan aeronautical engineer, politician and diplomat"
Somayeh Sadeghian,botanist
Emily Kathryn Wyant,"amerikanischer Mathematikerin, Gründerin von Kappa Mu Epsilon"
Nezaket Adıgüzel,Turkish botanist
Isabel Galriça Neto,Portuguese politician
Sharon Elaine Bartholomew-Began,American bryologist
Marie-Odette Dubois-Violette,French mathematician
Hélène Bouchiat,French physicist
Anik Stepanyan,
Jacqueline Vignaud,
Judi V. Stone,
Melissa A. Johnson,
Małgorzata Grodzińska-Jurczak,Polish biologist
Mary Sobrado,Venezuelan biologist
Anna Adelia Angell,American physician
Elizabeth New,Australian chemist
Efryushina Ninel,chemist
Woutera Sophie Suzanna van Benthem Jutting,Dutch biologist
Mildred Adams Fenton,American scientist (1899-1995)
Rakel Jalas,Finnish politician
Laura Brown,organic chemist and Senior Lecturer at Indiana University Bloomington
Rhoda Williams Benham,American mycologist
Mariapía Bevilacqua,Venezuelan scientist
Olga Voziakova,Russian astronomer
Alice Roth,Swiss mathematician (1905-1977)
Anne Greenbaum,American applied mathematician and academic
Leah Buechley,"American professor, developer of the LilyPad Arduino toolkit"
Valeria Simoncini,Italian researcher
Anna Katarzyna Wójtowicz,Polish biologist
Mabel Minerva Young,American mathematician
Danica Avsec,physician
Catherine Falade,researcher
Victoria C. Hollowell,American botanist
Sarah Stewart Johnson,American astronomer & planetary scientist
Rim Mahjoub,Tunisian politician
Sindisiwe van Zyl,South African physician and Radio DJ
Linda Saif,American microbial scientist
Grazyna Dabrowska-Milewska,
Janina Mincer-Daszkiewicz,
Onintze Salazar,spanische Physikerin und Meteorologin
Olga Suvorova,Kazakh chemist
Annick Mathey,French botanist
Catherine Riaux-Gobin,French botanist
Danielle Florens,French botanist
Noelle Eckley,Chemist
Monika Espinasa,Biologist
Michele Prône,French botanist
Linda Sparke,British astronomer
Dagny Sveaas,physician and politician
Laura Toti Rigatelli,Italian historian of mathematics
Dorota Skowron,Polish astronomer
Mary Lou Jepsen,American scientist and entrepreneur
Monique Frize,Canadian academic and biomedical engineer
Elisa Díaz Riva,
Winifred Hackett,guided weapons engineer and computer pioneer
Nancie Monelle,American physician and missionary
Tanja Gaich,österreichische Chemikerin
Khadijetou Lekweiry,Mauritanian Biologist
سرى سبع العيش,
Laura Farré Rozada,Spanish mathematician
Ollie Josephine Prescott Baird Bennett,
María del Pilar Jiménez Alzate,Científica colombiana
Jakoba Ruinen,"phycologist, mycologist"
Jean Schwarzbauer,American molecular biologist
Mary Elvira Weeks,Chemist and science historian
Neltje Blanchan,American writer (1865-1918)
Regine Kollek,German chemist
Mary Dixon Jones,"American physician, gynecological surgeon"
Monika Bessenrodt-Weberpals,deutsche Physikerin
Kristin Vinje,Norwegian politician
Sarah Zimmerman-Gris,Israeli biologist
Sarah Vasen,
Liisa Simola,Finnish botanist
Lidia Latanowicz,Polish physicist
Lúcia Garcez Lohmann,botanist
Svetlana Mishlanova,Russian physician and linguist
Veronica Vaida,Romanian-American chemist
Vimal Mundada,Indian politician
Madeleine Pelletier,"French physician, psychiatrist, feminist, socialist, editor (1874-1939)"
Anna Watts,British physicist
Anne Walker,British astronomer
Guiomar Lopes,
Seema Nanda,Indian mathematician
Ushadevi Bhosle,Indian mathematician
Alison R. Fout,American inorganic chemist
Radmila Petanović,
Maria Augusta Generoso Estrela,medica brasilera
Dorothy Thursby-Pelham,British scientist and scientific illustrator
Nancy Andrews,American physician and biologist
Nouria Hernandez,"biologist, professor and rector of the University of Lausanne (Switzerland)"
Rita Sapiro Finkler,Ukrainian-American physician
Montserrat Clavero Sánchez,
Kjersti Engan,
Luminița Vese,
Jill Slay,British-Australian engineer and computer scientist
Joyce Waters,New Zealand inorganic chemist and crystallographer
Nadia Adamchuk-Chala,Ukrainian botanist
Martha Rojas Urrego,Biologist
Vicky Knudsen,
Thea D. Hodge,American computer scientist
Vicki Lynne Hanson,American computer scientist
Ewa Kubicka,Polish mathematician
Johanna Weber,German mathematician
Cynthia M. Morton,Botanist
Chi Onwurah,British politician (born 1965)
Natalia Trayanova,Professor of biomedical engineering
Halyna Puchkivska,physicist
Judit Balázs,physician
Hazel Haward Chodak-Gregory,1886-1952
Elizaveta Polonskaya,Soviet writer
Patrizia Farci,Italian scientist and hepatologist
Margaret Wiecek,
Carme Vall Clara,"Spanish professor, politician and mathematician"
Mary Pugh,
Aliya Venyaminova,russische Chemikerin
Nita Landry,
Alicja Eber,Polish physician and painter (1889-1980)
Grażyna Łaska,"Polish botanist, academic"
Pamela Wible,"American physician, author and activist"
Gertrude Maud Robinson,British chemist
Grace Wyngaard,American biologist
Rebecca A. Herb,American mathematician
Rekha R. Thomas,American mathematician
Ruth J. Williams,American mathematician
Margaret Bell,"American physician, professor of hygiene and physical education"
Alice Silverberg,mathematician
Rachel Bean,American astronomer
Carolyne M. Van Vliet,American physicist
Marilyn Breen,mathematician
Kathryn Moler,American physicist
Rama Bansil,American physicist
Nina Vedeneyeva,Soviet physicist
Nagima Dzhakipbekova,Kazakhstani chemist
Marika Geldmacher-von Mallinckrodt,German chemist and university teacher
Danielle Jones,American OB/GYN and social media personality
Delphine Philippe-Lemaître,French poet (1798-1863)
Katie Louisa Ardill,Australian doctor
Patti Frazer Lock,American mathematician
Blanka Zajícová,Czech member of Czech Parliament (1996-1998) and doctor
Elizabeth Losey,"American biologist, author and environmentalist"
Martha Daniell Logan,American botanist and writer (1704-1779)
Faith Ellen,Canadian computer scientist
Rosa Alentorn i Sànchez,Spanish political activist and chemist
Ida Busbridge,British mathematician
Emily Bovell,Scottish physician
Maria Gordina,Russian-American mathematician
Sarah Woodin,researcher
Elsie Dalyell,Australian medical doctor
Willetta Greene-Johnson,American physicist
Karen Kavanagh,Canadian physicist
Erzsébet Ligeti,researcher
Hannah Bast,German computer scientist and professor
Yen Yen Sam,Malaysian botanist
Jang-geum,Korean physician
Nora Bustamante Luciani,Venezuelan historian
Stéphanie Mörikofer,Schweizer Biochemikerin und Politikerin (FDP)
Else Kooi,Dutch chemist (1932-2001)
Ulla Bengtsson,
Zorya Shapiro,Russian mathematician
Catherine W. Lukhoba,botanist
Christine H Sophie Kabuye,botanist
Deby Arifiani,botanist
Garland Elizabeth Gibbs Russell,botanist
I.O. Buzunova,botanist
Irene Bock,German botanist
Leonore Bockemühl,German botanist
Mariette Manktelow,botanist
Oljga N. Dubovik,botanist
Sachiko Nishida,botanist
Wendy Elizabeth Cooper,botanist
Fay Cluff Brown,physicist
Nicole Hulin,"French physicist, historian of science and writer"
M. C. Albuquerque,
Chiu-Yen Kao,Taiwanese-American applied mathematician
Blaženka Divjak,Croatian politician
Rebecca J. Stanley,New Zealand botanist
Liv Aagot Hundevadt,
Margaret Gatty,British writer and botanist (1809-1873)
Dora Rivière,French physician
Hilda Murrell,British environmentalist and peace campaigner (1906-1984)
Margherita Hack,Italian astrophysicist and popular science writer
Asia Möller,
Angela Speck,Professor of Astrophysics
Tetiana Krushelnytska,
Volodymyra Krushelnytska,
Marjo-Riitta Järvelin,"Finnish researcher and professor in lifecourse epidemiology (Imperial College London, UK) and professor (University of Oulu)"
Mari Michinaga,
Alicia V. Linzey,American biologist
Anneliese Niethammer,German botanist (1901-1983)
Laila Soueif,"Egyptian human- and women's- rights activist, mathematician and professor at Cairo University"
Ellen Baokye,Ghanaian cardiologist
María Delia Bottinelli,طبيبة أوروغوايانية
Gertrude B. Elion,American biochemist and pharmacologist
Sibylle Günter,German physicist
Petrona Eyle,Argentine activist
Lia Bronsard,American mathematician
Susanne Albers,German theoretical computer scientist
Alina Lichtarowicz,
Irena Ćwiertnia-Sitowska,
Joan Slonczewski,American writer
Adele Gerard Lewis Grant,American botanist (1881-1969)
Grace Marie Taylor,"New Zealand botanist, mycologist and scientific illustrator (1930-1999)"
Klara Rásky,botanist (1908-1971)
Kira Leonidovna Vinogradova,Russian botanist and phycologist
Patricia Chacón de Ulloa,bióloga y entomóloga colombiana
Margaret Thomson,Scottish physician and prisoner of war (1902-1982)
Jessica Fridrich,American speedcuber
Elvira Fortunato,Portuguese physicist
Harriet Brooks,Canadian nuclear physicist
Q55202557,Macedonian biologist
Harriet Henrietta Beaufort,(1778-1865)
Rebecca Cole,American physician
Naoko Yamamoto,
Alyssa T. Cochran,botanist
Claudia Baider,botanist
Rakhil' Freydlina,
Rose Rand,Austrian philosopher
Paola Leone,Italian biologist
Sonia Machanick,South African physician
Aemilia Hilaria,Gallo-Roman physician
Angeliki Panajiotatou,Greek physician and microbiologist
Margaret Millington,British mathematician (1944-1973)
Véronique Gouverneur,Belgian chemist based at the University of Oxford
Danielle Wood,American engineer
Olga Hadžić,Serbian mathematician
Farida Momand,Afghan physician and politician
Ellen Sandelin,Swedish physician (1862-1907)
Ingrid del Carmen Montes González,American chemistry professor
Jacqueline Felice de Almania,Italian physician
Annalisa Buffa,Italian mathematician
Carina Curto,American mathematician
Muborak Mansurova,Tajikistani biologist
Alessandra Lanzara,Italian-American physicist
Sarah Lee Lippincott,astronomer
María de las Mercedes Ciciarelli,Argentinian botanist
Debra Meyer,"südafrikanische Biochemikerin, Autorin und AIDS-Aktivistin"
Elżbieta Żądzińska,Polish biologist and anthropologist
Layla Guscoth,england netball international
Alexandra Wölk,botanist
Alice Le Duc,botanist
Divya Jain,software engineer
Helen Sharsmith,American botanist (1905-1982)
Carmen Galan,Spanish botanist and university teacher
Sylvia Speller,German physicist
Catharine van Tussenbroek,"Dutch physician and writer, editor"
Susanne Teschl,Austrian mathematician
Rachel Chan,Argentine scientist
Miina Sikk,web developer
Aoibhinn Ní Shúilleabháin,Irish academic and broadcaster
Anne Cooke,British biologist
Lubomira Broniarz-Press,Polish chemist
Roxana Geambașu,computer scientist
Olga Bidaurreta,
Irene Gruenberg Fertig,Israeli botanist
Aditi Sen De,Indian physicist
Sarah Thompson (physicist),physics academic at the University of York
Sira Repollés Lasheras,
Rita Ḳogan,Israeli writer and poet
Sharon Glotzer,American physicist
Fiona J. Scott,botanist
Shoshana Kamin,Israeli mathematician
Karin Baur,researcher
Johanne Cathrine Feilberg,7. juli 1864 Bergen 4. juli 1951 Oslo
Shirley van der Lof,Dutch racing driver
Jane MacArthur,British planetary physicist and science writer
Anne Broadbent,Canadian mathematician
Margret Marquart,German physician and theologian
Valentina Zambra,Italian physician (1897-1984)
Danuta Kiełczewska,Polish physicist
"Edith Summerskill, Baroness Summerskill",British politician (1901-1980)
Xenia de la Ossa,Costa Rican theoretical physicist
Kari Salminen,Finnish chemist
Valérie Van Grootel,Belgian astronomer and astrophysicist
Debora Green,"American doctor, convicted for murder"
Joycelyn Elders,"American pediatrician, public health administrator, and former Surgeon General of the United States"
Kathryn Kranen,American electronic design automation engineer and business executive
Blanka Druškovič Czerny,Slovene biologist
Natalia M. Novikova,russische Mathematikerin
Giuliana Luigia Evelina Mameli Calvino,Italian botanist (1886-1978)
Motrya Vasylivna Bratiychuk,Ukrainian astronomer
Adriana Ocampo,Colombian planetary geologist
Irene D. Long,American aerospace physician
Nilüfer Çınar Çorlulu,Turkish female chess player
Rachael Dunlop,Australian sceptic
Elizabeth Dale,British paleobotanist and botanist (1868 - ?)
Karen Vogtmann,American mathematician
María Antònia Canals,Catalan teacher
Ann E. Weber,
Martha Austin Phelps,American chemist (1870-1933)
Adeline May Cowan,British botanist (1892-1981)
Olga Knorring,Russian botanist (1887-1978)
Mirka Miller,Czech-Australian mathematician and computer scientist
Jennifer Scott,British mathematician
Muriel Helen Deem,"Doctor, medical officer, Plunket medical adviser, university lecturer"
Elizabeth Tasker,Astronomer
Ciara Kelly,
Ayesha Bedora Choudhury,
Amy Wagers,American molecular biologist
Deanna M. Church,American economist
Thelma Alper,American clinical psychologist
Elanor Huntington,Australian computer scientist
Annie Dookhan,former American forensic technician
Suzanne W. Tourtellotte,American astronomer
Joyce Gloria Chery,botanist
Lolaniso Ismoilova,
Julie Gerberding,"American physician, educator, infectious disease specialist"
Catherine Nyongesa,
Guadalupe Martín González,spanische Ärztin und Politikerin
Anita Cochran (astronomer),American astronomer
Martha G. Thorwick,
Mileva Prvanović,Serbian mathematician
Eva von Bahr,Swedish physicist and docent
Anne Condon,Irish-Canadian computer scientist
Gail Cardew,British biologist
