personLabel,personDescription
Edna P. Plumstead,South African palaeobotanist (1903-1989)
Eva G. Buxton,botanist
Kerstin Schill,German computer scientist and biologist
Bird Margaret Turner,Mathematikerin und Hochschullehrerin
Denisa Legac,Croatian physician
Bi Bi Monajemeh Nishaburi,Persian mathematician and astronomer
Gro Brækken,Norwegian businesswoman
Alicia Granados,"Health Executive and International Consultant, Doctor and singer"
Birthe Kemper,"deutsche Basketballspielerin, Schwester von Lena Kemper"
Janice Chen,US biotech entrepreneur
Karin Holmgren,"Professor in Physical Geography, Deputy Vice-Chancellor of the Swedish University of Agricultural Sciences (SLU)"
Rusea Go,botanist
Lucie Basch,ingénieure française
Soňa Hermochová,Czech psychologist
Rosi Sexton,British martial artist
Carolina I. Calviño,Argentinian botanist
Jean Swank,American astronomer
Beatrice Exner,botanist (1924-2004)
Clarice Pignalberi de Hassan,Ictóloga argentina
Heather Deal,Canadian politician and biologist
Eva Wallander,botanist
Nancy Ruth Morin,botanist
Dora Emilia Mora de Retana,Costa Rican botanist (1939-2001)
Maud Adeline Cloudesley Brereton,"British health consultant and gas advocate, editor"
Elizabeth P. Gironella,botanist
Xihong Lin,American-Chinese statistician & academic
Maryla Marchewianka,botanist (1897-1939)
Lisa Marcaurelle,American chemist
Charlotte Nieschalk,botanist (1913-2005)
Estelle H. Kelso,American botanist and ornithologist (1911-1987)
Eugenio Fresi,Italian biologist and carcinologist
Lesley Ruth Kerr,botanist (1900-1927)
Maria Florianivna Makarevych,Soviet botanist and lichenologist (1906-1989)
Tessa N. Hempson,South African biologist and zoologist
Helen M Byrne,Professor of Applied Mathematics
Jacinta Marie Burke,botanist
Carlota Pereira de Queirós,Brazilian politician
Susanne Holzgraefe,deutsche Free and Open Source Pionierin und Datenschützerin
María Betiana Angulo,Argentinian botanist
Nilda M. Dottori,Argentinian botanist
Varvara Rudneva,Russian physician
Anne Halkett,English religious writer and autobiographer
Laura Waller,Computer scientist
Frances Bonker,American botanist and writer (1904–1981)
Dana K. Bailey,botanist (1916-1999)
Ethel Irene McLennan,Australian botanist and educator (1891-1983)
Maria Tallant Owen,American botanist (1825-1913)
Marie Catherine Neal,American naturalist (1889-1965)
María del Carmen Fernández-Carvajal,Spanish botanist
Beryl Brintnall Simpson,American botanist (born 1942)
Tini Brugge,Dutch biologist
Svitlana Ziman,botanist
Christine O'Keefe,Australian mathematician
Angelika Bunse-Gerstner,German mathematician
Elmina Wilson,(1870-1918)
Agnieszka Kolada,Polish scientist
Farah Naz Talpur,chemist
Domitila Hormizinda Miranda de Carvalho,"portugiesische Schriftstellerin, Erzieherin und Politikerin | geboren: 10. April 1871 | Geburtsort: Travanca da Feira | gestorben: 11. November 1966 | Sterbeort: Lissabon"
Alice T. Schafer,American mathematician
Alta Schrock,Biology professor and community activist
Éliane Le Breton,French MD & physiologist
Judith Marie Canne-Hilliker,Canadian botanist (1943-2013)
Katherine Belov,Australian scientist and geneticist
Karen L. G. De Toni,researcher
Lucie Kobrlová,researcher
Zulma E. Rúgolo,Argentinian botanist
María de la Luz Arreguín,Mexican botanist
Jean Olive Dorothy Hillcoat,botanist (1904-1990)
Rosario Beyhaut,botanist
Lucy Katherine Armitage Chippindall,South African botanist (1913-1992)
Lya Imber,The first female physician in Venezuela
Susana Malcorra,Argentine UN official
Lauren Cole Sallan,American paleobiologist
María Mercedes Arbo,Argentinian botanist
Nina Castro Jorge,Brazilian botanist
Juliana Fariña González,Spanish physician
Elisabeth Niemann,deutsche Ärztin
Julia R. Hall,African-American physician
Eleanor Anne Ormerod,"British entomologist, editor (1828-1901)"
Cläre Hunsdiecker,German chemist
Silvia Curteanu,Romanian chemist
Zuzana Macek Jílková,Czech biochemist
Anne Vallée,Canadian biologist
Jeanne Atger,médecin et résistante française
Susanne Bødker,Danish computer scientist
Lore Zumeta Olaskoaga,Spanish mathematician
Edith L. Taylor,American paleobotanist
Catherine Cesarsky,French astronomer
Lisa Jardine-Wright,British physicist and educator
Junying Yu,American biologist
Catherine Gage,Irish botanist (1815-1892)
Ilene Busch-Vishniac,Canadian academic administrator
Charlotte Barnum,mathematician
Joan S. Ash,American physician
María Andresa Casamayor,Spanish mathematician and teacher
Pierette Cornelie Bolle,Dutch botanist (1893-1945)
Sabiha Gürayman,first Turkish female civil engineer and volleyball player
Jane Aronson,American pediatrician
Fanny Reading,(1884-1974) medical practitioner and Jewish communal leader
Laura Frances McDermott,botanist (1882-1923)
María Manzano Arjona,Spanish mathematician
Tivkah Edelstein,botanist (1926-1977)
Vera Leontievna Nekrassova,botanist (1881-1979)
Yolanda Herrera Arrieta,Mexican botanist and agrostologist
Chen Hualan,Chinese animal virologist
Violetta Susan Elizabeth White,"American botanist, mycologist and scientific illustrator (1875-1949)"
Jan Anderson,New Zealand scientist
Guadalupe Mercedes Lucía Guerrero Avendaño,Mexican radiologist
Germaine Pottier-Alapetite,French botanic professor (1894-1971)
Birgit Kamm,deutsche Chemikerin
Judith Steinberg Dean,American physician
Blanca Renée Arrillaga,Uruguayan scientist (1917-2011)
Angela Vincent,British neurosurgeon
Cecilie French,British chemist (1915–1962)
Katherine Blundell,Professor of Astrophysics at the University of Oxford
Janice B. Walker,American mathematician
Růžena Ženčáková,Czechoslovak mathematician
Winnie Li,Taiwanese mathematician
Danièle Hérin,French politician
Armi Kaila,Finnish chemist
Elena Cattaneo,Italian academic
Shirley Ann Tousch Graham,American botanist (born 1935)
Thirza Ruiz,"Venezuelan botanist, professor of Systematic Botany at Universidad Central de Venezuela"
Erin Johnson,Canadian computational chemist
Elvan İşeri Karacan,Turkish physician and psychiatrist
Anna Dmitrievna Zinova,botanist (1902-1985)
Dorothea Louise Schulz,botanist (1931-1993)
Elly Walther,botanist (1912-1993)
Ida Mary Roper,British botanist and author (1865-1935)
Nicole Berline,French mathematician
Jelena de Belder-Kovačič,Slovenian-Belgian botanist and horticulturist (1925-2003)
Anicia Peters,Namibian computer scientist
Florence Lewis,mathematician and astronomer
Jaqueline Kiplinger,American inorganic chemist
Mary Fielding,English botanist (1804-1895)
Yongjie Zhang,American mechanical engineer
Sally Cockburn,Canadian mathematician
Désirée Le Beau,Austro-Hungarian-American industrial chemist and inventor
Jan Godsell,professor
Nora Delgado,Venezuelan politician and engineer
Gabriele Nebe,German mathematician
Holly Krieger,Lecturer in mathematics
Eugenia Maresch,Polish-British activist
Dervilla M. X. Donnelly,Irish chemist
Cynthia Hipwell,American nanotechnologist and tribologist
Judith Howard,British chemist and crystallographer
Lillian Rosanoff Lieber,American mathematician
Linda Griffith,American engineer
Lisa Jeffrey,Canadian mathematician
Kristin Lauter,American cryptographer
Miriam Friedman Menkin,Latvian-American researcher
Charlotte Millikin Hoak,"American teacher, horticulturalist, botanist, botanical collector and garden columnist (1874—1967)"
Kimberly Kowal Arcand,American science communicator and astronomer
Tetiana Tcherevtchenko,Ukrainian botanist (1929-2017)
Artemis Simopoulos,American physician and endocrinologist
Ting Wu,American geneticist
Nguyễn Thị Ngọc Phượng,Vietnamese doctor
Elizabeth A. Zimmer,botanist
Jacqueline Fraysse,French politician
Kaisa Nyberg,Finnish cryptographer
Catharina Stroppel,German mathematician
Katarína Horáková,Slovakian biologist
Lisa Kewley,Australian astrophysicist
Dorothy J. Phillips,American chemist
Barbara E. Ralston,botanist
Liselotte Moewus,phycologist
Ruth Darrow,American pathologist
Jacqueline Mitton,British astronomer
Danielle Föllmi,طبيبة فرنسية
Alma Holland Beers,U.S. botanist (1892-1974)
Ettie Stewart Steele,British chemist
Claudia Polini,Italian mathematician
Elaine Shi,Chinese and American computer scientist
Charlotte Nichols Saunders Horner,American botanist and botanical collector (1823-1906)
Wendy K Adams,American physics educator
Elizabeth Carlson,American mathematician
Jenny Nelson,Professor of Physics
Wei Chen,Chinese-American mechanical engineer; Wilson-Cook Professor in Engineering Design at Northwestern University
Daniela Basso,Italian botanist
Aude Oliva,French computer scientist
Leah D'Emilio,American audio engineer
Alina Anisimova,student programmer at Kyrgyz Girls' Space School
Eve Ostriker,researcher ORCID ID = 0000-0002-0509-9113
Khadeeja Mumtaz,Indian Malayalam language author
Yael Adler,"German doctor, health researcher and writer"
Helen Caines,Physicist
L.A. Smoljaninova,botanist (1904-2000)
Isabella Abbott,"Hawaiian-American professor of botany, ethnobotanist and specialist in algology (1919-2010)"
Faustina Pignatelli,Italian mathematics and physics
Hasmik Hasratyan,"Armenian physician, physiologist"
Emma P. Carr,American spectroscopist and chemical educator
Kathleen Lonsdale,Irish crystallographer
Ping Fu,Chinese computer scientist and entrepreneur
Verônica Saraiva Fialho,biologist
Mary Elizabeth Banning,American mycologist
Seetha Coleman-Kammula,"Indian chemist, environmentalist and entrepreneur."
Josefina Castellví,"Spanish women scientist, biologist, oceanographer and writer"
Rosa María Cros,Spanish botanist
B. Vijayalakshmi,Indian physicist
Isabella Novik,Professor of mathematics
María del Rocío Sáenz,"Costa Rican physician, politician"
Barbara M. Ferrier,britisch-kanadische Chemikerin und Hochschullehrerin
Marcelle Machluf,Israeli biochemist
Marielle Stamm,Swiss journalist
Linda Garcia Cubero,US Air Force officer
Marie-Antoinette Tonnelat,French physicist
Virginia McShane Warfield,American mathematics educator
Melanie Wood,American mathematician
Elizabeth Johnson,English pamphleteer
Marion Cahour,French physician
Mary Lou Clements-Mann,American biologist
Henriette Avram,American computer programmer and system analyst
Lori McCreary,American film producer and computer scientist
Maria Klawe,Canadian-American computer scientist
Manuela M. Veloso,Portuguese-American computer scientist
Nancy Hafkin,South African computer scientist
Sarah Martha Baker,British botanist (1887-1917)
Erika Hiltbrunner,Swiss botanist
Dušanka Janežič,Slovene mathematician
Ludmila Eckertová,Czechoslovak physicist
Cathryn Carson,historian of science
Lena Frances Edwards,American doctor
Ishiko Mori,Japanese physician and a correspondent for the Yomiuri Shinbun
Dru Lavigne,Canadian software engineer
Lise Thiry,Belgian scientist
Lillian Glass,American writer and activist
Helen Dickie,US nationally renowned pulmonologist
Anda Čakša,"Latvian physician, businessperson, and politician"
Ivonne Jiménez Velázquez,Puerto Rican geriatrician and internist
Marian Stamp Dawkins,British biologist
Maria Miranda Schoenberg,Biologin
Georgina Mace,British ecologist (1953–2020)
Mollie Orshansky,American economist
Suzanne Craig,American mathematician
Anne Butler,president for [[Engineers Ireland]]
