personLabel,occupationLabel,institutionLabel
Sinéad Griffin,physicist,Trinity College Dublin
Judith Howard,chemist,Somerville College
Esther Batchelder,chemist,Connecticut College
Barbara Taranowska,botanist,Maria Curie-Skłodowska University
Jadwiga Śliwka,biologist,Jagiellonian University
Kayla Barron,engineer,United States Naval Academy
Florence Pat Haseltine,physician,"University of California, Berkeley"
Ellen Ochoa,engineer,San Diego State University
Bruria Kaufman,mathematician,Hebrew University of Jerusalem
Ethel Williams,physician,Newnham College
Thyrsa Frazier Svager,mathematician,Antioch College
Dorothee Haroske,mathematician,University of Jena
Tiiu Kull,botanist,University of Tartu
Julie Campbell,biologist,University of Melbourne
Idit Zehavi,physicist,Hebrew University of Jerusalem
Lynn J. Gillespie,botanist,Carleton University
Q12403900,biologist,Hebrew University of Jerusalem
Q20034321,biologist,Hebrew University of Jerusalem
Lucinda A. McDade,botanist,Duke University
Sulochana Gadgil,mathematician,Savitribai Phule Pune University
Q21088306,chemist,Ural Federal University
Q56041336,physician,Bashkir State Medical University
Q60221278,physician,Bashkir State Medical University
Q65334390,physician,Bashkir State Medical University
Q66424805,physician,Bashkir State Medical University
Q66819304,physician,Bashkir State Medical University
Q75171172,physician,Bashkir State Medical University
Q91991576,physician,Bashkir State Medical University
Chelsea Walton,mathematician,Michigan State University
Laura Guggenbühl,mathematician,Hunter College
Sylvia Fedoruk,physician,University of Saskatchewan
Sylvia Fedoruk,physicist,University of Saskatchewan
Q60837638,physician,Kazakh National Medical University
Q101404855,physician,Kazakh National Medical University
Chen Saijuan,physician,Shanghai Jiao Tong University School of Medicine
Judith Ellen Skog,botanist,Cornell University
Judith Ellen Skog,botanist,University of Connecticut
Q39407036,physician,South Ural State Medical University
Sophie LaRochelle,engineer,Université Laval
Naomi Sager,mathematician,Fu Foundation School of Engineering and Applied Science
Q61376302,physician,Uzhhorod National University
Q64411312,physicist,Uzhhorod National University
Hazel Marguerite Schmoll,botanist,University of Chicago
Virginia Livingston,physician,New York University
Q19909209,physicist,Faculty of Physics and Mathematics of Moscow Imperial University
Alice Le Duc,botanist,"University of California, Los Angeles"
Renate Loll,physicist,Imperial College London
H. Nida Sen,physician,Hacettepe University Faculty of Medicine
Sushila Nayyar,physician,Johns Hopkins University
Judith Ellen Skog,botanist,Tufts University
Dorothee Haroske,mathematician,Carl-Zeiss-Gymnasium Jena
Betty Johnson,engineer,Swarthmore College
Christina Koch,engineer,North Carolina State University
Anne Schilling,mathematician,Stony Brook University
Maria Lluïsa Canut Ruiz,physicist,University of Barcelona
Cristina Garmendia,biologist,University of Navarre
Alice Le Duc,botanist,University of Maryland
Petra Mutzel,computer scientist,Max Planck Institute for Informatics
Elena Mendoza Lora,mathematician,Complutense University of Madrid
Sulabha K. Kulkarni,physicist,Savitribai Phule Pune University
Anita Goel,physicist,Harvard University
Barbara Tudek,biologist,Medical University of Warsaw
Mor Harchol-Balter,computer scientist,"University of California, Berkeley"
Stephanie Wehner,computer scientist,University of Amsterdam
Bonny L. Schumaker,physicist,California Polytechnic State University
Q20742070,physician,Kansai Medical University
Alina Lichtarowicz,physician,Medical College of Jagiellonian University
Ana María Rey,physicist,University of the Andes
Livia Azzariti,physician,Sapienza University of Rome
Cristina Garmendia,biologist,University of Seville
Melody Chan,mathematician,Yale University
Olabisi Ugbebor,mathematician,"Queen's College, Lagos"
Nicola Brasch,chemist,University of Otago
Caterina Consani,mathematician,University of Genoa
Nieves Rodríguez Brisaboa,computer scientist,University of A Coruña
Caroline Aigle,engineer,École polytechnique
Karin Stephen,physician,Bryn Mawr College
Marjolein Dijkstra,physicist,Utrecht University
Dianne P. O'Leary,computer scientist,Purdue University
Adora Cheung,engineer,Clemson University
Naiomi Cameron,mathematician,Howard University
Alia Sabur,mathematician,Drexel University
Yoky Matsuoka,computer scientist,Massachusetts Institute of Technology
Webe Kadima,chemist,Université de Kinshasa
Winnie Byanyima,engineer,University of Manchester
Regina Moran,engineer,Dublin City University
Olga Yano,biologist,University of São Paulo
Claire Vellut,physician,Catholic University of Louvain
Nancy Makri,physicist,"University of California, Berkeley"
Q39039740,physician,Toho University
Narel Y. Paniagua-Zambrana,botanist,Higher University of San Andrés
Alfhild Jensen Gislefoss,physician,University of Minnesota
Jean Venables,engineer,Imperial College London
Liat Ben-David,biologist,Weizmann Institute of Science
Jean A. Larson,mathematician,"University of California, Berkeley"
Aini Ideris,biologist,University of Putra Malaysia
Cheryl L. Shavers,chemist,Arizona State University
Clara Pinto Correia,biologist,University of Lisbon
Anne Schilling,physicist,Stony Brook University
Gertrude Blanch,computer scientist,Cornell University
Nell Newman,biologist,College of the Atlantic
Tal Rabin,computer scientist,Hebrew University of Jerusalem
Carol Karp,mathematician,University of Southern California
Carissa F. Etienne,physician,London School of Hygiene & Tropical Medicine
Nancy Makri,physicist,National and Kapodistrian University of Athens
Vy Maria Dong,chemist,California Institute of Technology
Esperanza Cabral,physician,Harvard Medical School
Małgorzata Śliwińska-Bartkowiak,physicist,Adam Mickiewicz University in Poznań
Cynthia Friend,chemist,"University of California, Berkeley"
Jean Schwarzbauer,biologist,University of Wisconsin–Milwaukee
Alessandra Celletti,mathematician,Tor Vergata University of Rome
Rosa Alentorn i Sànchez,chemist,Autonomous University of Barcelona
Maria R. Servedio,biologist,Harvard University
C. Dianne Martin,computer scientist,Oxon Hill High School
Ruth Pirret,chemist,University of Glasgow
Dorothy Hodgkin,physicist,University of Oxford
Agnieszka Kałamajska,mathematician,University of Warsaw
Ankita Gaba,computer scientist,University of Mumbai
Myrtle Bachelder,engineer,Middlebury College
Priscilla Nzimiro,physician,University of Glasgow
Cassie Mitchell,chemist,Oklahoma State University–Stillwater
Nancy Makri,chemist,"University of California, Berkeley"
Lyudmyla Lyatetska,physician,Crimea State Medical University named after S. I. Georgievsky
Cassie Mitchell,chemist,Georgia Institute of Technology
Marleen Temmerman,physician,Free University of Brussels
Marleen Temmerman,physician,Vrije Universiteit Brussel
Rosalind J Allen,chemist,University of Cambridge
Thereza Imanishi-Kari,biologist,University of Helsinki
Cynthia B. Lee,computer scientist,"University of California, San Diego"
Hawa Abdi,physician,Taras Shevchenko National University of Kyiv
Lori S. Glaze,astronomer,University of Texas at Arlington
Teri Manolio,physician,University of Maryland
Silvia Zenari,botanist,University of Padua
Penelope J. Brothers,chemist,Stanford University
Wiesława Nizioł,mathematician,Princeton University
Erica Larson,chemist,University of Kansas
Nancy Makri,chemist,National and Kapodistrian University of Athens
Ulrika Babiaková,astronomer,Comenius University in Bratislava
Amina Doumane,computer scientist,École Centrale Paris
Cherry Ann Murray,physicist,Massachusetts Institute of Technology
Petra Levin,biologist,Harvard University
Kathleen Grace Noble,biologist,Kampala International School
Donna Huryn,chemist,Cornell University
Hélène Langevin-Joliot,physicist,ESPCI ParisTech
Margo Seltzer,computer scientist,Harvard University
C. Dianne Martin,computer scientist,University of Maryland
Mari Carmen Urbieta Gonzalez,physician,University of the Basque Country
Szilvia Lengyel,engineer,Eötvös Loránd University
Liliana Katinas,botanist,Facultad de Ciencias Exactas
Margaret Warner Morley,biologist,State University of New York at Oswego
Janie L. Mines,engineer,Massachusetts Institute of Technology
Judith Roitman,mathematician,"University of California, Berkeley"
Faina Zinovevna Sjeygam,physician,Saint Petersburg Medical Academy of Postgraduate Education
Carol Boggs,biologist,University of Texas at Austin
Kirsten Eisenträger,mathematician,"University of California, Berkeley"
Q20506990,physician,Azerbaijan Medical University
Nicole Stott,engineer,Embry–Riddle Aeronautical University
Miwa Mikami,physician,Tokyo Women's Medical University
Pernilla Wittung-Stafshede,chemist,Chalmers University of Technology
Mathilde Lange,biologist,University of Zurich
Jocelyne Troccaz,computer scientist,Stanford University
Dina  Prialnik,astronomer,Hebrew University of Jerusalem
Ivona Brandić,computer scientist,University of Vienna
Aithne Rowse,physician,University of the Witwatersrand
Ulrica Wilson,mathematician,Spelman College
Marie Curie,chemist,University of Paris
Elizabeth Ofili,physician,Johns Hopkins University
Sunita Williams,engineer,Florida Institute of Technology
Stephanie M Carlson,biologist,"University of California, Davis"
Neelima Gupte,physicist,Indian Institute of Technology Bombay
Ethel C. Field,botanist,Ohio State University
Naomi Halas,engineer,La Salle University
Lea Verou,computer scientist,Athens University of Economics and Business
Q22101206,chemist,Jilin University
Kyoko Nozaki,chemist,Kyoto University
Maria Wilman,botanist,University of Cambridge
Halle Tanner Dillon Johnson,physician,Woman's Medical College of Pennsylvania
Aída Hassón-Voloch,chemist,Federal University of Rio de Janeiro
Pia Nalli,mathematician,Im Regina Margherita
Q17045027,physician,Vitebsk State Medical University
Q87689463,physician,Vitebsk State Medical University
Q99441282,physician,Vitebsk State Medical University
Q99913228,physician,Vitebsk State Medical University
Q100506260,physician,Vitebsk State Medical University
Q20068192,chemist,Chernivtsi University
Dorothy Celeste Boulding Ferebee,physician,Tufts University School of Medicine
Padmini Murthy,physician,New York University
Ariela Luna,physician,Cayetano Heredia University
Funke Opeke,engineer,Obafemi Awolowo University
Q61117934,physician,Bogomolets National Medical University
Q87445423,chemist,Shumen University
Sara Plummer Lemmon,botanist,Cooper Union
Joy Buolamwini,computer scientist,Georgia Institute of Technology
Q28413379,chemist,Tianjin University
Rosi Sexton,mathematician,Trinity College
Maria Cibrario Cinquini,mathematician,University of Turin
Saraswathi Vishveshwara,chemist,Indian Institute of Science
Ye Shuhua,astronomer,Sun Yat-sen University
Alice Čečilová,physician,Charles University
Florence Pat Haseltine,physician,Massachusetts Institute of Technology
Ivika Ostonen-Märtin,botanist,University of Tartu
Nicole Grobert,chemist,University of Ulm
Vera Faddeeva,mathematician,Saint Petersburg State University
Renate Loll,physicist,University of Potsdam
Marie Farge,mathematician,Paris Diderot University
Tanya Monro,physicist,University of Sydney
Janet Lane-Claypon,physician,University College London
Janina Ochojska,astronomer,Nicolaus Copernicus University in Toruń
Jaylee Burley Mead,astronomer,Georgetown University
Sabrina Kitaka,physician,Makerere University
Julia A. Thompson,physicist,Cornell College
Virginia Livingston,physician,Vassar College
Mor Harchol-Balter,computer scientist,Brandeis University
Melanie Rieback,computer scientist,Delft University of Technology
Melanie Rieback,computer scientist,University of Miami
N. P. Tarasova,chemist,D. Mendeleev University of Chemical Technology of Russia
Merbai Ardesir Vakil,physician,London School of Medicine for Women
Funke Opeke,engineer,Fu Foundation School of Engineering and Applied Science
Dorothy Celeste Boulding Ferebee,physician,Simmons University
Barbara Gravendeel,botanist,Utrecht University
María Villarroya Gaudó,engineer,Autonomous University of Barcelona
Agata Ciabattoni,computer scientist,University of Bologna
Regina Birk,physician,University of Tartu
Anna Marie Pyle,biologist,Princeton University
Margaret Leslie Canby,botanist,Pomona College
Anna Wikander,physician,University of Helsinki
Serena A. Corr,chemist,Trinity College Dublin
Jaylee Burley Mead,astronomer,University of North Carolina at Greensboro
Mary Elvira Weeks,chemist,University of Kansas
Linda Spilker,astronomer,"California State University, Fullerton"
Olga Ulyanova,chemist,MSU Faculty of Chemistry
Lydia Manley Henry,physician,University of Sheffield
Marie Farge,physicist,Paris Diderot University
Carissa F. Etienne,physician,University of the West Indies
Nataliya Vynograd,physician,Danylo Halytsky Lviv National Medical University
Barbara M. Middlehurst,astronomer,Girton College
Silvia Braslavsky,chemist,University of Buenos Aires
Maria do Socorro Pereira,botanist,University of Campinas
Florence Pat Haseltine,physician,Albert Einstein College of Medicine
Paula Eerola,physicist,University of Helsinki
Patti Frazer Lock,mathematician,Colgate University
Melityna Gromadska,biologist,Stephen Báthory University
Camila Navarrete,astronomer,Pontifical Catholic University of Chile
Dorothy Virginia Nightingale,chemist,University of Chicago
Eleonora Grigoryan,biologist,Moscow State University
Soniya Nityanand,physician,Karolinska Institute
Eleanor Jane Milner-Gulland,biologist,Imperial College London
Iris Torriani,physicist,National University of La Plata
Mildred Cohn,engineer,Hunter College
Danielle Bassett,physicist,University of Cambridge
Lisa Dyson,physicist,Massachusetts Institute of Technology
Eloise Gerry,botanist,Smith College
Rosalind J Allen,chemist,University of Pennsylvania
Tikvah Alper,physicist,University of Cape Town
Alicja Dorabialska,chemist,University of Warsaw
Josephine D. Edwards,mathematician,University of Oxford
Kate Kirby,physicist,Harvard College
Silvia Braslavsky,chemist,Colegio Nacional de Buenos Aires
Leena Peltonen-Palotie,biologist,Oulun Suomalaisen Yhteiskoulun Lukio
Eva Gedeonová,mathematician,Comenius University in Bratislava
Frances Saunders,physicist,University of Nottingham
Mufti Nurunnessa Khatun,botanist,University of Liverpool
Huda Zoghbi,physician,American University of Beirut
Maria Montserrat Capdevila d'Oriola,astronomer,University of Paris
Danuta Sybilska,chemist,University of Warsaw
Maria Montserrat Capdevila d'Oriola,mathematician,University of Paris
Maria Cristina Facchini,chemist,University of Bologna
Julena Steinheider Duncombe,astronomer,Doane University
Julena Steinheider Duncombe,mathematician,Doane University
Susan McKinney Steward,physician,New York Medical College
Padmasree Warrior,engineer,Indian Institute of Technology Delhi
Barbara Baehr,botanist,University of Tübingen
Gladys W. Royal,chemist,Tuskegee University
Aslı Erdoğan,physicist,Robert College
Gail Wolkowicz,mathematician,Brown University
Cynthia Bauerle,biologist,University of Virginia
Danielle Bassett,physicist,Pennsylvania State University
Susan McKenna-Lawlor,astronomer,University College Dublin
Maureen Baker,physician,University of Dundee
Andréa Onofre de Araújo,botanist,University of São Paulo
Vera Afanasieva,physicist,Saratov State University
Tanya Beckett,chemist,Pembroke College
Geneviève Darrieussecq,physician,University of Bordeaux
Valérie Van Grootel,astronomer,University of Liège
Louise Sherwood McDowell,physicist,Cornell University
Marina Dermastia,botanist,University of Ljubljana
Anne Bourlioux,mathematician,Princeton University
Gioietta Kuo,physicist,Badminton School
Nancy Andrews,physician,Harvard Medical School
Martine Piccart,physician,Free University of Brussels
Cynthia Bauerle,biologist,University of Wisconsin–Madison
Lynne McClure,mathematician,University College London
Andréa Onofre de Araújo,botanist,Universidade Estadual Paulista
Rose Whelan Sedgewick,mathematician,Brown University
Marianna Saar,botanist,Olustvere School of Service and Rural Economics
Inna Aznauryan,physicist,Yerevan State University
Evelin Lindner,physician,University of Oslo
Lyudmila Yanukovych,engineer,Donbas National Academy of Civil Engineering and Architecture
Eva Jellett,physician,Trinity College Dublin
Terttu Vartianen,chemist,University of Kuopio
Jane C. Charlton,astronomer,University of Chicago
Madeleine Veyssié,physicist,agrégation
Julie Story Byerley,physician,Rhodes College
Ayorkor Korsah,computer scientist,Dartmouth College
Ella Al-Shamahi,biologist,Imperial College London
Denise Monte Braz,botanist,Universidade Estadual Paulista
Argelia Velez-Rodriguez,mathematician,University of Havana
Albertine Winner,physician,Francis Holland School
Irena Kamińska-Szmaj,mathematician,University of Wrocław
Nashwa Eassa,physicist,Nelson Mandela University
Q12403900,biologist,Weizmann Institute of Science
Q20034321,biologist,Weizmann Institute of Science
Anita Schöbel,mathematician,University of Kaiserslautern
Chitra Mandal,chemist,University of Burdwan
Zinaida Donets,biologist,Taras Shevchenko National University of Kyiv
Helen Sharsmith,biologist,"University of California, Berkeley"
Mwele Ntuli Malecela,physician,University of Dar es Salaam
Margaretta Palmer,astronomer,Vassar College
Margaretta Palmer,mathematician,Vassar College
Silvia Blair Trujillo,physician,University of Antioquia
Eve Slater,physician,Vassar College
Noriko Arai,mathematician,Hitotsubashi University
Zora Konjajev,physician,University of Ljubljana
Lucia de Brouckère,chemist,Free University of Brussels
Haesun Park,mathematician,Seoul National University
Padmasree Warrior,engineer,Cornell University College of Engineering
Kathryn Hess,mathematician,Massachusetts Institute of Technology
Q17499213,biologist,Kyoto University
Q57887860,biologist,Kyoto University
Uschi Steigenberger,physicist,University of Würzburg
Concepción Rodríguez Jiménez,botanist,National Autonomous University of Mexico
Anna C. Balazs,engineer,Bryn Mawr College
Leila Andrews,physician,Northwestern University
Sheila Kanani,astronomer,University of Manchester
Eliane Elisa de Souza e Azevedo,physician,University of Hawaii
Silvia Pressel,botanist,Queen Mary University of London
Kathleen Madden,mathematician,University of Colorado
Lucy Campbell,mathematician,McGill University
Elizabeth Belding,computer scientist,"University of California, Santa Barbara"
Matilda Moldenhauer Brooks,biologist,Harvard University
Teresa Halina Woźniak,physician,Medical University of Białystok
Christy Haynes,chemist,Macalester College
Beatriz Ghirelli,engineer,National University of La Plata
María Teresita de J. Colotti,botanist,National University of Tucumán
Eve Ostriker,physicist,"University of California, Berkeley"
Maud Perry Menzies,physician,University of Glasgow
Serena A. Corr,chemist,"Presentation Secondary School, Clonmel"
Gail Wolkowicz,mathematician,McGill University
Vanila Singh,physician,"University of California, Berkeley"
Hanna Morozovska,physicist,Taras Shevchenko National University of Kyiv
Crista Arangala,mathematician,University of Cincinnati
Joceline Lega,physicist,University of Nice Sophia-Antipolis
Maryam Sadeghi,computer scientist,Iran University of Science and Technology
Irena Eris,physician,Medical University of Warsaw
Elêna Maria de Lamare Occhioni,botanist,Federal University of Rio de Janeiro
Vicki Gardiner,chemist,Monash University
Galina Borovykh,physician,Ural State Medical Academy
Gail Wolkowicz,mathematician,Emory University
Elda Emma Anderson,physicist,University of Wisconsin–Madison
Gail Wolkowicz,mathematician,University of Alberta
Larisa Migachyov,engineer,University of Pennsylvania Law School
Ligia Urniaż-Grabowska,physician,Medical University of Warsaw
Anne Penfold Street,mathematician,University of Melbourne
Q24352813,physician,Institut médical des femmes de Saint-Pétersbourg
Joanna Soszyńska-Budny,mathematician,University of Gdańsk
Ryō Morikawa,physicist,Okayama University of Science
Cathy O'Neil,mathematician,Harvard University
Tu Youyou,chemist,Beijing University of Chinese Medicine
Adéla Kawka,astronomer,Murdoch University
Isabelle Gallagher,mathematician,École polytechnique
Sheila Christina Tinney,physicist,University College Dublin
Selda Gunsel,engineer,Pennsylvania State University
Tatiana Ungaretti Paleo Konno,botanist,Federal University of Rio de Janeiro
Sally Jewell,engineer,University of Washington
Elizabeth Abimbola Awoliyi,physician,"Queen's College, Lagos"
Ramona Oviedo Prieto,botanist,University of Havana
Mina Bissell,biologist,Radcliffe College
Nancy Hopkins,biologist,Radcliffe College
Grace Bochenek,engineer,Wayne State University
Susanne Prediger,mathematician,Technische Universität Darmstadt
Natalia B. Shustova,chemist,Moscow State University
Beatriz Roldan Cuenya,physicist,University of Duisburg-Essen
Elizaveta Torosyan,physician,Yerevan State Medical University
Fern Hunt,mathematician,Bryn Mawr College
Marie Reynier,engineer,Arts et Métiers ParisTech
Fanny Gates,physicist,University of Pennsylvania
Kari Hag,mathematician,University of Oslo
Élisabeth Hubert,physician,Faculté de médecine de Nantes
Lisa Hefendehl-Hebeker,mathematician,University of Münster
Rita Orji,computer scientist,Nnamdi Azikiwe University
Gillian Hanson,physician,UCL Medical School
Nadezhda Angarskaya,mathematician,North-Eastern Federal University
Halima Benbouza,biologist,University of Batna
Ana Lucía de la Garza Barroso,physician,Instituto Nacional de Salud Pública
Nasrin Soltankhah,mathematician,Sharif University of Technology
Laura B. Eisenstein,physicist,Harvard University
Jean Laby,physicist,University of Melbourne
Krista Voda,engineer,University of Northern Iowa
Martha Chase,chemist,College of Wooster
Alexandra Morton,biologist,American University
Maria Wilman,botanist,Good Hope Seminary High School
Marianna Janion,physician,Medical College of Jagiellonian University
Jue Chen,biologist,Tongji University
Chupis Irina,physicist,National University of Kharkiv
Gizem Karaali,mathematician,Boğaziçi University
Kathryn Hess,mathematician,University of Wisconsin–Madison
Whang Youn Dai,physician,Ewha Womans University
Eliane Elisa de Souza e Azevedo,physician,University of Washington
Cynthia A. Maryanoff,chemist,Drexel University
Alena Dzikawicka,physician,Maxim Tank Belarusian State Pedagogical University
Rudolf vom Hofe,mathematician,University of Augsburg
Remziye Hisar,chemist,University of Paris
Shoshanah Arad,biologist,Hebrew University of Jerusalem
Persis Drell,physicist,"University of California, Berkeley"
Jeannette E. Brown,chemist,Hunter College
Helen Popova Alderson,mathematician,University of Edinburgh
Brigitte Servatius,mathematician,Syracuse University
Katie Bouman,computer scientist,Massachusetts Institute of Technology
Ellen Gould Zweibel,physicist,University of Chicago
Anne Brooks,physician,Michigan State University
Nancy M. Amato,engineer,Stanford University
Marcella Boveri,biologist,Harvard University
Rudolf vom Hofe,mathematician,University of Kassel
Elif Genceli,engineer,Delft University of Technology
Britta Nestler,mathematician,RWTH Aachen University
Lauren Kim Roche,physician,University of Auckland
Thaleia Zariphopoulou,mathematician,Brown University
Dorothy Lewis Bernstein,mathematician,University of Wisconsin–Madison
Johanna Westerdijk,botanist,University of Zurich
Rosina Heikel,physician,University of Helsinki
Tamar Schlick,mathematician,Wayne State University
Swietłana Białłozór,chemist,"Faculty of Chemistry, Gdańsk University of Technology"
María Teresa Alarcón-Herrera,botanist,National Autonomous University of Mexico
Barbara A. Schaal,biologist,Yale University
Cecilia Krieger,mathematician,University of Toronto
Françoise Meunier,physician,Free University of Brussels
Li Lin,physicist,University of Birmingham
Arley Munson Hare,physician,Woman's Medical College of Pennsylvania
Alina von Davier,mathematician,University of Bucharest
Irène Buvat,physicist,University of Paris-Sud
Nieves Rodríguez Brisaboa,computer scientist,University of Santiago de Compostela
Ana María Cuervo,biologist,University of Valencia
Eleanor Robson,mathematician,University of Oxford
Ruth Webster Lathrop,physician,Marine Biological Laboratory
Ida Rolf,chemist,Columbia University College of Physicians and Surgeons
Sissi Closs,computer scientist,Saarland University
Janet Asimov,physician,Wellesley College
Q55708147,physicist,University of Michigan
Maybelle Maud Park,physician,University of Wisconsin–Madison
Julia Liuson,engineer,University of Washington
Martha G. Welch,physician,New York University
Alessandra Celletti,mathematician,ETH Zurich
Bruria Kaufman,physicist,Hebrew University of Jerusalem
Lucinda A. McDade,botanist,Tulane University
Marcia Neugebauer,physicist,Cornell University
Colette Cassignol,mathematician,École normale supérieure
Sarah Gordon,computer scientist,Indiana University South Bend
Juliet Daniel,biologist,University of British Columbia
Margaret Weston,engineer,Stroud High School
Stephanie Wehner,computer scientist,University of New South Wales
Erna Schneider Hoover,computer scientist,Yale University
Michèle Bellon,engineer,École Centrale Paris
Q65200110,physicist,University of Kiev Faculty of Radiophysics
Adelaide Dutcher,physician,Johns Hopkins School of Medicine
Kate Jackson,biologist,Harvard University
Chikako Mese,mathematician,Stanford University
Q60991326,physician,Zhejiang Medical University
Diane Greene,engineer,"University of California, Berkeley"
Kathie-Ann Joseph,physician,Stuyvesant High School
Agnes Kemp,physician,Woman's Medical College of Pennsylvania
Lily Serna,mathematician,University of Technology Sydney
Q89266931,physicist,Faculty of Physics of University of Warsaw
Lesley Cohen,physicist,University of Cambridge
Doris Grant,engineer,Banff Academy
Branca Edmée Marques,physicist,University of Paris
Thekla Resvoll,botanist,Ludwig Maximilian University of Munich
Ella Pamfilova,engineer,Moscow Power Engineering Institute
Anastasia Ailamaki,computer scientist,University of Wisconsin–Madison
Jenny Y Yang,chemist,"University of California, Berkeley"
Hanna Klaus,physician,University of Louisville School of Medicine
Joan Hinton,physicist,Bennington College
Veena Rawat,engineer,Queen's University
Juliet Daniel,biologist,Vanderbilt University
Li Minhua,physicist,Tsinghua University
Q17314933,physicist,Ewha Girls' High School
Sara Zahedi,mathematician,Royal Institute of Technology
Juliet Lee-Franzini,physicist,Columbia University
Susanna Gregory,biologist,Wolfson College
Alison Valerie Kellow,botanist,University of Melbourne
Edith Quimby,physicist,Whitman College
Vy Maria Dong,chemist,"University of California, Irvine"
Mary Spackman,physician,Howard University College of Medicine
Allene Jeanes,chemist,University of Illinois at Urbana–Champaign
Annie Lorrain Smith,botanist,Royal College of Science
Eloise Gerry,botanist,Radcliffe College
Dorcas Muthoni,computer scientist,University of Nairobi
Amanda Howe,physician,Newnham College
Rozalia Nusbaum-Hilarowicz,biologist,Lviv University
Miriam Michael Stimson,chemist,Siena Heights University
Katherine Warington,botanist,"Royal Holloway, University of London"
Michelle Thaller,astronomer,Georgia State University
Nancy Andrews,physician,Yale University
Josefa Zaratt,physician,Tufts University School of Medicine
Lixia Zhang,computer scientist,"California State University, Los Angeles"
Canan Efendigil Karatay,physician,Istanbul University
Diane Souvaine,mathematician,Harvard University
Lucy Weston Pickett,chemist,University of Illinois at Urbana–Champaign
Branca Edmée Marques,chemist,University of Paris
Jeanne Ferrante,engineer,Hofstra University
Yulia Sister,chemist,Moldova State University
Amanda Cox,data scientist,St. Olaf College
Nataša Jonoska,mathematician,Binghamton University
Virginia M. Alexander,physician,University of Pennsylvania
Catherine Heymans,astronomer,University of Edinburgh
Carol Shaw,computer scientist,"University of California, Berkeley"
Emma Haruka Iwao,mathematician,University of Tsukuba
Sarah J. Greenwald,mathematician,University of Pennsylvania
Mary Lou Jepsen,computer scientist,Brown University
Karen Duncan,computer scientist,University of Oklahoma
Eve Slater,physician,Columbia University College of Physicians and Surgeons
Martha Martínez Gordillo,botanist,National Autonomous University of Mexico
Joanna Rutkowska,computer scientist,Faculty of Electronics and Information Technology
Joan Freeman,physicist,University of Sydney
Hawa Abdi,physician,Mogadishu University
Lydia Galle,physicist,Saint Petersburg State Polytechnical University
Mary James (scientist),physicist,Stanford University
Lois Wilfred Griffiths,mathematician,University of Chicago
Julie Ezold,engineer,California State University
María de los Ángeles Alvariño González,biologist,Complutense University of Madrid
Priscilla White,physician,Harvard University
Hannah Markwig,mathematician,University of Kaiserslautern
Michelle Thaller,physicist,Georgia State University
Wendy Kellogg,computer scientist,University of Oregon
Edith Anne Stoney,physicist,Newnham College
Valentina Ivanova,physician,Nicolae Testemițanu State University of Medicine and Pharmacy
Lucy-Ann McFadden,astronomer,Hampshire College
Trachette Jackson,mathematician,University of Washington
Susan Hockey,computer scientist,Lady Margaret Hall
Enriqueta González Baz,mathematician,National Autonomous University of Mexico
Sydney Mary Thompson,botanist,Belfast School of Art
Melody Chan,mathematician,"University of California, Berkeley"
Nataša Jonoska,mathematician,Ss. Cyril and Methodius University of Skopje
Tatiana Krasnoselskaia,botanist,Bestuzhev Courses
Rebecca J Shipley,mathematician,University of Oxford
Birgit Lugrin,computer scientist,University of Augsburg
Faith Ellen,computer scientist,"University of California, Berkeley"
Mary Kendrick,engineer,University of Nottingham
Marcia Rieke,astronomer,Massachusetts Institute of Technology
Livia S. Eberlin,chemist,University of Campinas
Dorothy Hodgkin,chemist,University of Oxford
Elizabeth Scott,astronomer,"University of California, Berkeley"
Elizabeth Scott,mathematician,"University of California, Berkeley"
Penelope J. Brothers,chemist,University of Auckland
Erna Hamburger,engineer,University of Lausanne
Smadar Naoz,physicist,Hebrew University of Jerusalem
Alison Valerie Kellow,botanist,University of Adelaide
Sayeba Akhter,physician,Bangabandhu Sheikh Mujib Medical University
Magdalena Matte,engineer,Pontifical Catholic University of Chile
Nina Amenta,computer scientist,"University of California, Berkeley"
Marta Martínez Alonso,mathematician,IESE Business School
Françoise Barré-Sinoussi,biologist,Science Faculty of Paris
Janet L. Mitchell,physician,Harvard University
Susan Ofori-Atta,physician,Achimota School
Elena Cebrián Calvo,engineer,Technical University of Madrid
Sigrid Luiza Jung-Mendaçolli,botanist,University of São Paulo
Pärja Nirk,chemist,Gustav Adolf Grammar School
Ella Campbell,botanist,University of Otago
Ray Strachey,engineer,Bryn Mawr College
Carola-Bibiane Schönlieb,mathematician,University of Salzburg
Dianna Xu,computer scientist,Smith College
Maria Montserrat Capdevila d'Oriola,astronomer,University of Barcelona
Beryl H. Potter,astronomer,Indiana University
Maria Montserrat Capdevila d'Oriola,mathematician,University of Barcelona
Jocelyn Bell Burnell,astronomer,University of Glasgow
Marianne Popp,botanist,University of Vienna
Julie Ezold,engineer,San Francisco State University
Elizabeth McHarg,mathematician,University of Glasgow
Aslı Erdoğan,physicist,Boğaziçi University
Maria Gordina,mathematician,Saint Petersburg State University
Holly Rushmeier,computer scientist,Cornell University
Virginia Cornish,biologist,Massachusetts Institute of Technology
Carole Goble,computer scientist,University of Manchester
Veronika Rampold,physician,University of Münster
Sylvia Edlund,botanist,Case Western Reserve University
Taiko Nōmura,biologist,Ochanomizu University
